,question,answer,image_path,label
23588,is no brown shape present?,no,2460.png,12
23589,what shape is in the image?,circle,2461.png,0
23590,what color is the circle?,black,2461.png,6
23591,what color is the shape?,black,2461.png,6
23592,does the image not contain a rectangle?,yes,2461.png,4
23593,does the image contain a triangle?,no,2461.png,12
23594,is there not a black shape?,no,2461.png,12
23595,is there a red shape in the image?,no,2461.png,12
23596,is there a green shape?,no,2461.png,12
23597,is there not a blue shape in the image?,yes,2461.png,4
23598,does the image not contain a blue shape?,yes,2461.png,4
23599,is no yellow shape present?,yes,2461.png,4
23600,is there not a brown shape?,yes,2461.png,4
23601,what shape is present?,circle,2462.png,0
23602,what color is the shape?,gray,2462.png,3
23603,is there a rectangle?,no,2462.png,12
23604,does the image contain a circle?,yes,2462.png,4
23605,is there not a black shape?,yes,2462.png,4
23606,is there a gray shape?,yes,2462.png,4
23607,does the image not contain a gray shape?,no,2462.png,12
23608,is there not a red shape in the image?,yes,2462.png,4
23609,does the image not contain a green shape?,yes,2462.png,4
23610,is there not a teal shape?,yes,2462.png,4
23611,what shape is in the image?,rectangle,2463.png,7
23612,what shape does the image contain?,rectangle,2463.png,7
23613,what is the red shape?,rectangle,2463.png,7
23614,what color is the rectangle?,red,2463.png,2
23615,is a rectangle present?,yes,2463.png,4
23616,is there not a circle in the image?,yes,2463.png,4
23617,is there a triangle in the image?,no,2463.png,12
23618,is there not a triangle in the image?,yes,2463.png,4
23619,does the image contain a gray shape?,no,2463.png,12
23620,is no green shape present?,yes,2463.png,4
23621,is there not a yellow shape in the image?,yes,2463.png,4
23622,does the image contain a teal shape?,no,2463.png,12
23623,what shape does the image contain?,circle,2464.png,0
23624,what color is the shape?,black,2464.png,6
23625,is there a circle in the image?,yes,2464.png,4
23626,does the image not contain a black shape?,no,2464.png,12
23627,is a teal shape present?,no,2464.png,12
23628,what is the red shape?,triangle,2465.png,9
23629,what color is the triangle?,red,2465.png,2
23630,what is the color of the shape?,red,2465.png,2
23631,is a circle present?,no,2465.png,12
23632,does the image not contain a circle?,yes,2465.png,4
23633,is there a blue shape?,no,2465.png,12
23634,is there a brown shape in the image?,no,2465.png,12
23635,what is the color of the rectangle?,brown,2466.png,10
23636,what color is the shape?,brown,2466.png,10
23637,does the image not contain a rectangle?,no,2466.png,12
23638,is there a gray shape?,no,2466.png,12
23639,is there a gray shape in the image?,no,2466.png,12
23640,is a red shape present?,no,2466.png,12
23641,is there not a red shape in the image?,yes,2466.png,4
23642,is no red shape present?,yes,2466.png,4
23643,is a green shape present?,no,2466.png,12
23644,is no blue shape present?,yes,2466.png,4
23645,is there a teal shape in the image?,no,2466.png,12
23646,what shape is in the image?,circle,2467.png,0
23647,what shape is present?,circle,2467.png,0
23648,what color is the circle?,green,2467.png,1
23649,what color is the shape?,green,2467.png,1
23650,is no black shape present?,yes,2467.png,4
23651,does the image contain a teal shape?,no,2467.png,12
23652,is a teal shape present?,no,2467.png,12
23653,is there not a brown shape in the image?,yes,2467.png,4
23654,what shape does the image contain?,circle,2468.png,0
23655,what is the yellow shape?,circle,2468.png,0
23656,what color is the circle?,yellow,2468.png,8
23657,what is the color of the shape?,yellow,2468.png,8
23658,is no rectangle present?,yes,2468.png,4
23659,is a circle present?,yes,2468.png,4
23660,is there not a circle in the image?,no,2468.png,12
23661,does the image contain a gray shape?,no,2468.png,12
23662,does the image not contain a gray shape?,yes,2468.png,4
23663,is there not a green shape in the image?,yes,2468.png,4
23664,is there not a yellow shape?,no,2468.png,12
23665,what color is the shape?,brown,2469.png,10
23666,does the image contain a circle?,no,2469.png,12
23667,is there a triangle in the image?,yes,2469.png,4
23668,is there a black shape?,no,2469.png,12
23669,is no gray shape present?,yes,2469.png,4
23670,is there a green shape in the image?,no,2469.png,12
23671,does the image contain a green shape?,no,2469.png,12
23672,is there not a yellow shape in the image?,yes,2469.png,4
23673,does the image not contain a teal shape?,yes,2469.png,4
23674,is there not a brown shape in the image?,no,2469.png,12
23675,is no brown shape present?,no,2469.png,12
23676,what shape is present?,rectangle,2470.png,7
23677,what is the brown shape?,rectangle,2470.png,7
23678,what is the color of the rectangle?,brown,2470.png,10
23679,is there not a triangle in the image?,yes,2470.png,4
23680,is there a green shape?,no,2470.png,12
23681,is there a yellow shape?,no,2470.png,12
23682,does the image contain a yellow shape?,no,2470.png,12
23683,is there a teal shape in the image?,no,2470.png,12
23684,is there a brown shape?,yes,2470.png,4
23685,does the image not contain a brown shape?,no,2470.png,12
23686,is no brown shape present?,no,2470.png,12
23687,is no rectangle present?,no,2471.png,12
23688,is there not a black shape in the image?,yes,2471.png,4
23689,is a red shape present?,yes,2471.png,4
23690,does the image not contain a green shape?,yes,2471.png,4
23691,does the image not contain a blue shape?,yes,2471.png,4
23692,is there not a yellow shape?,yes,2471.png,4
23693,does the image contain a teal shape?,no,2471.png,12
23694,is there not a brown shape in the image?,yes,2471.png,4
23695,what shape is present?,rectangle,2472.png,7
23696,is no rectangle present?,no,2472.png,12
23697,does the image not contain a triangle?,yes,2472.png,4
23698,is no gray shape present?,yes,2472.png,4
23699,does the image contain a blue shape?,no,2472.png,12
23700,is there a yellow shape?,no,2472.png,12
23701,does the image not contain a yellow shape?,yes,2472.png,4
23702,is there not a brown shape?,yes,2472.png,4
23703,what shape is in the image?,triangle,2473.png,9
23704,what shape does the image contain?,triangle,2473.png,9
23705,what is the color of the triangle?,brown,2473.png,10
23706,is a rectangle present?,no,2473.png,12
23707,is there not a triangle?,no,2473.png,12
23708,does the image contain a gray shape?,no,2473.png,12
23709,is there a blue shape in the image?,no,2473.png,12
23710,is there not a teal shape?,yes,2473.png,4
23711,what shape is present?,circle,2474.png,0
23712,what is the color of the circle?,black,2474.png,6
23713,does the image not contain a red shape?,yes,2474.png,4
23714,is there a blue shape in the image?,no,2474.png,12
23715,is there not a teal shape in the image?,yes,2474.png,4
23716,does the image contain a brown shape?,no,2474.png,12
23717,what shape is in the image?,rectangle,2475.png,7
23718,is there not a circle?,yes,2475.png,4
23719,is there a triangle?,no,2475.png,12
23720,does the image contain a red shape?,no,2475.png,12
23721,does the image contain a green shape?,no,2475.png,12
23722,is there not a green shape in the image?,yes,2475.png,4
23723,is there a blue shape in the image?,no,2475.png,12
23724,is a blue shape present?,no,2475.png,12
23725,does the image contain a brown shape?,no,2475.png,12
23726,what is the color of the circle?,green,2476.png,1
23727,what color is the shape?,green,2476.png,1
23728,is there not a circle?,no,2476.png,12
23729,does the image contain a triangle?,no,2476.png,12
23730,is a black shape present?,no,2476.png,12
23731,is a gray shape present?,no,2476.png,12
23732,is there a red shape in the image?,no,2476.png,12
23733,does the image contain a green shape?,yes,2476.png,4
23734,does the image not contain a yellow shape?,yes,2476.png,4
23735,is there not a teal shape in the image?,yes,2476.png,4
23736,what shape is in the image?,rectangle,2477.png,7
23737,what is the red shape?,rectangle,2477.png,7
23738,does the image contain a rectangle?,yes,2477.png,4
23739,is there a circle in the image?,no,2477.png,12
23740,is there a red shape?,yes,2477.png,4
23741,does the image not contain a yellow shape?,yes,2477.png,4
23742,does the image not contain a teal shape?,yes,2477.png,4
23743,what is the green shape?,rectangle,2478.png,7
23744,what is the color of the rectangle?,green,2478.png,1
23745,does the image contain a black shape?,no,2478.png,12
23746,does the image contain a gray shape?,no,2478.png,12
23747,does the image contain a red shape?,no,2478.png,12
23748,does the image contain a green shape?,yes,2478.png,4
23749,is there not a green shape in the image?,no,2478.png,12
23750,is no green shape present?,no,2478.png,12
23751,is there a blue shape in the image?,no,2478.png,12
23752,what shape is present?,triangle,2479.png,9
23753,what is the teal shape?,triangle,2479.png,9
23754,what color is the shape?,teal,2479.png,5
23755,is a gray shape present?,no,2479.png,12
23756,is there a red shape in the image?,no,2479.png,12
23757,is no blue shape present?,yes,2479.png,4
23758,is there not a brown shape in the image?,yes,2479.png,4
23759,what shape is present?,triangle,2480.png,9
23760,what color is the triangle?,red,2480.png,2
23761,what color is the shape?,red,2480.png,2
23762,is there a triangle in the image?,yes,2480.png,4
23763,is a blue shape present?,no,2480.png,12
23764,is there a yellow shape?,no,2480.png,12
23765,is a brown shape present?,no,2480.png,12
23766,does the image not contain a brown shape?,yes,2480.png,4
23767,what shape is in the image?,triangle,2481.png,9
23768,what shape is present?,triangle,2481.png,9
23769,what color is the shape?,teal,2481.png,5
23770,what is the color of the shape?,teal,2481.png,5
23771,is no circle present?,yes,2481.png,4
23772,is there a triangle in the image?,yes,2481.png,4
23773,is there not a triangle in the image?,no,2481.png,12
23774,does the image contain a black shape?,no,2481.png,12
23775,does the image contain a gray shape?,no,2481.png,12
23776,is there not a red shape in the image?,yes,2481.png,4
23777,does the image contain a teal shape?,yes,2481.png,4
23778,is there not a teal shape in the image?,no,2481.png,12
23779,is there a brown shape?,no,2481.png,12
23780,does the image contain a brown shape?,no,2481.png,12
23781,what shape is present?,rectangle,2482.png,7
23782,what shape does the image contain?,rectangle,2482.png,7
23783,what is the brown shape?,rectangle,2482.png,7
23784,what is the color of the rectangle?,brown,2482.png,10
23785,is there a rectangle in the image?,yes,2482.png,4
23786,is a circle present?,no,2482.png,12
23787,is there not a circle?,yes,2482.png,4
23788,does the image contain a triangle?,no,2482.png,12
23789,is there a gray shape?,no,2482.png,12
23790,is a red shape present?,no,2482.png,12
23791,is there not a green shape in the image?,yes,2482.png,4
23792,does the image contain a blue shape?,no,2482.png,12
23793,is there not a blue shape in the image?,yes,2482.png,4
23794,is no brown shape present?,no,2482.png,12
23795,what shape is present?,circle,2483.png,0
23796,what shape does the image contain?,circle,2483.png,0
23797,is there not a gray shape?,yes,2483.png,4
23798,is no gray shape present?,yes,2483.png,4
23799,does the image contain a green shape?,no,2483.png,12
23800,is there not a green shape in the image?,yes,2483.png,4
23801,does the image contain a blue shape?,no,2483.png,12
23802,does the image not contain a yellow shape?,yes,2483.png,4
23803,is no yellow shape present?,yes,2483.png,4
23804,does the image contain a teal shape?,yes,2483.png,4
23805,does the image not contain a teal shape?,no,2483.png,12
23806,is there a brown shape?,no,2483.png,12
23807,does the image contain a brown shape?,no,2483.png,12
23808,what shape is present?,triangle,2484.png,9
23809,what is the color of the triangle?,yellow,2484.png,8
23810,is there not a black shape?,yes,2484.png,4
23811,is a red shape present?,no,2484.png,12
23812,is no green shape present?,yes,2484.png,4
23813,is there a blue shape in the image?,no,2484.png,12
23814,is a blue shape present?,no,2484.png,12
23815,is no blue shape present?,yes,2484.png,4
23816,does the image contain a yellow shape?,yes,2484.png,4
23817,does the image not contain a yellow shape?,no,2484.png,12
23818,is there a brown shape in the image?,no,2484.png,12
23819,does the image contain a brown shape?,no,2484.png,12
23820,what color is the circle?,black,2485.png,6
23821,what is the color of the circle?,black,2485.png,6
23822,what is the color of the shape?,black,2485.png,6
23823,does the image contain a circle?,yes,2485.png,4
23824,is there not a circle?,no,2485.png,12
23825,is there not a triangle?,yes,2485.png,4
23826,does the image contain a red shape?,no,2485.png,12
23827,is there a green shape in the image?,no,2485.png,12
23828,is there not a green shape in the image?,yes,2485.png,4
23829,is there a blue shape?,no,2485.png,12
23830,is there a yellow shape?,no,2485.png,12
23831,is there a yellow shape in the image?,no,2485.png,12
23832,does the image not contain a yellow shape?,yes,2485.png,4
23833,does the image not contain a teal shape?,yes,2485.png,4
23834,what is the color of the shape?,black,2486.png,6
23835,is there not a rectangle in the image?,yes,2486.png,4
23836,is a circle present?,yes,2486.png,4
23837,is there not a triangle?,yes,2486.png,4
23838,is there not a gray shape?,yes,2486.png,4
23839,is there a blue shape in the image?,no,2486.png,12
23840,is a yellow shape present?,no,2486.png,12
23841,is there not a yellow shape?,yes,2486.png,4
23842,is there not a teal shape?,yes,2486.png,4
23843,is a black shape present?,no,2487.png,12
23844,is there a gray shape?,no,2487.png,12
23845,does the image not contain a green shape?,yes,2487.png,4
23846,is a blue shape present?,yes,2487.png,4
23847,does the image contain a yellow shape?,no,2487.png,12
23848,is there not a teal shape in the image?,yes,2487.png,4
23849,what is the gray shape?,rectangle,2488.png,7
23850,what color is the rectangle?,gray,2488.png,3
23851,what is the color of the rectangle?,gray,2488.png,3
23852,what color is the shape?,gray,2488.png,3
23853,what is the color of the shape?,gray,2488.png,3
23854,is there a rectangle?,yes,2488.png,4
23855,is there a triangle?,no,2488.png,12
23856,is no black shape present?,yes,2488.png,4
23857,is there a green shape in the image?,no,2488.png,12
23858,is a green shape present?,no,2488.png,12
23859,does the image contain a teal shape?,no,2488.png,12
23860,what shape is present?,rectangle,2489.png,7
23861,what is the color of the shape?,blue,2489.png,11
23862,is there not a rectangle?,no,2489.png,12
23863,does the image contain a circle?,no,2489.png,12
23864,is a gray shape present?,no,2489.png,12
23865,is there a yellow shape in the image?,no,2489.png,12
23866,is no yellow shape present?,yes,2489.png,4
23867,what is the color of the circle?,red,2490.png,2
23868,is a rectangle present?,no,2490.png,12
23869,is no rectangle present?,yes,2490.png,4
23870,is there not a triangle in the image?,yes,2490.png,4
23871,does the image not contain a green shape?,yes,2490.png,4
23872,what color is the triangle?,green,2491.png,1
23873,what is the color of the triangle?,green,2491.png,1
23874,is a triangle present?,yes,2491.png,4
23875,is there a black shape?,no,2491.png,12
23876,is there not a gray shape in the image?,yes,2491.png,4
23877,is there a red shape?,no,2491.png,12
23878,does the image contain a red shape?,no,2491.png,12
23879,is a blue shape present?,no,2491.png,12
23880,is no blue shape present?,yes,2491.png,4
23881,does the image not contain a yellow shape?,yes,2491.png,4
23882,does the image not contain a brown shape?,yes,2491.png,4
23883,what shape is in the image?,circle,2492.png,0
23884,what color is the shape?,gray,2492.png,3
23885,does the image not contain a circle?,no,2492.png,12
23886,is there a red shape in the image?,no,2492.png,12
23887,is no green shape present?,yes,2492.png,4
23888,does the image contain a yellow shape?,no,2492.png,12
23889,is there not a brown shape in the image?,yes,2492.png,4
23890,what shape is in the image?,triangle,2493.png,9
23891,what color is the triangle?,gray,2493.png,3
23892,what is the color of the shape?,gray,2493.png,3
23893,does the image not contain a rectangle?,yes,2493.png,4
23894,does the image contain a circle?,no,2493.png,12
23895,is there not a black shape?,yes,2493.png,4
23896,is there not a black shape in the image?,yes,2493.png,4
23897,is a red shape present?,no,2493.png,12
23898,does the image not contain a blue shape?,yes,2493.png,4
23899,does the image not contain a teal shape?,yes,2493.png,4
23900,does the image not contain a brown shape?,yes,2493.png,4
23901,what color is the rectangle?,teal,2494.png,5
23902,what color is the shape?,teal,2494.png,5
23903,is there not a brown shape in the image?,yes,2494.png,4
23904,is no brown shape present?,yes,2494.png,4
23905,what color is the circle?,gray,2495.png,3
23906,what color is the shape?,gray,2495.png,3
23907,what is the color of the shape?,gray,2495.png,3
23908,is there a circle in the image?,yes,2495.png,4
23909,is there a triangle?,no,2495.png,12
23910,does the image contain a black shape?,no,2495.png,12
23911,is there not a gray shape in the image?,no,2495.png,12
23912,is no red shape present?,yes,2495.png,4
23913,does the image not contain a blue shape?,yes,2495.png,4
23914,does the image contain a yellow shape?,no,2495.png,12
23915,is there a teal shape in the image?,no,2495.png,12
23916,does the image not contain a teal shape?,yes,2495.png,4
23917,does the image not contain a brown shape?,yes,2495.png,4
23918,what shape is in the image?,triangle,2496.png,9
23919,what shape does the image contain?,triangle,2496.png,9
23920,what color is the triangle?,red,2496.png,2
23921,is there not a rectangle?,yes,2496.png,4
23922,is no rectangle present?,yes,2496.png,4
23923,is no circle present?,yes,2496.png,4
23924,is there a black shape in the image?,no,2496.png,12
23925,does the image contain a black shape?,no,2496.png,12
23926,is there a gray shape?,no,2496.png,12
23927,does the image not contain a green shape?,yes,2496.png,4
23928,is there a blue shape in the image?,no,2496.png,12
23929,is there not a blue shape?,yes,2496.png,4
23930,is there not a teal shape?,yes,2496.png,4
23931,does the image not contain a circle?,yes,2497.png,4
23932,is a gray shape present?,no,2497.png,12
23933,does the image not contain a gray shape?,yes,2497.png,4
23934,is there not a green shape in the image?,yes,2497.png,4
23935,does the image contain a blue shape?,no,2497.png,12
23936,is there a yellow shape?,no,2497.png,12
23937,is there a teal shape in the image?,no,2497.png,12
23938,does the image contain a teal shape?,no,2497.png,12
23939,what shape is in the image?,triangle,2498.png,9
23940,what shape does the image contain?,triangle,2498.png,9
23941,what is the teal shape?,triangle,2498.png,9
23942,what color is the triangle?,teal,2498.png,5
23943,what is the color of the shape?,teal,2498.png,5
23944,does the image contain a rectangle?,no,2498.png,12
23945,is there not a rectangle?,yes,2498.png,4
23946,does the image not contain a circle?,yes,2498.png,4
23947,does the image not contain a black shape?,yes,2498.png,4
23948,does the image contain a yellow shape?,no,2498.png,12
23949,is there not a teal shape?,no,2498.png,12
23950,what shape is in the image?,rectangle,2499.png,7
23951,what color is the rectangle?,gray,2499.png,3
23952,what is the color of the rectangle?,gray,2499.png,3
23953,what color is the shape?,gray,2499.png,3
23954,is no rectangle present?,no,2499.png,12
23955,is a circle present?,no,2499.png,12
23956,does the image not contain a circle?,yes,2499.png,4
23957,is there not a triangle?,yes,2499.png,4
23958,is there not a red shape in the image?,yes,2499.png,4
23959,is there not a blue shape in the image?,yes,2499.png,4
23960,what shape is in the image?,rectangle,2500.png,7
23961,what is the blue shape?,rectangle,2500.png,7
23962,what color is the rectangle?,blue,2500.png,11
23963,what is the color of the shape?,blue,2500.png,11
23964,is there a rectangle in the image?,yes,2500.png,4
23965,is a rectangle present?,yes,2500.png,4
23966,does the image not contain a triangle?,yes,2500.png,4
23967,is there not a black shape?,yes,2500.png,4
23968,is there a red shape?,no,2500.png,12
23969,is there a red shape in the image?,no,2500.png,12
23970,is there not a green shape in the image?,yes,2500.png,4
23971,is there not a blue shape?,no,2500.png,12
23972,is there a yellow shape?,no,2500.png,12
23973,is no yellow shape present?,yes,2500.png,4
23974,is a teal shape present?,no,2500.png,12
23975,is there not a brown shape?,yes,2500.png,4
23976,what shape is present?,triangle,2501.png,9
23977,is no rectangle present?,yes,2501.png,4
23978,is there a triangle?,yes,2501.png,4
23979,is there a triangle in the image?,yes,2501.png,4
23980,is no black shape present?,no,2501.png,12
23981,does the image not contain a red shape?,yes,2501.png,4
23982,does the image not contain a green shape?,yes,2501.png,4
23983,is there not a teal shape?,yes,2501.png,4
23984,what shape does the image contain?,circle,2502.png,0
23985,is there not a circle in the image?,no,2502.png,12
23986,does the image not contain a black shape?,yes,2502.png,4
23987,is a green shape present?,no,2502.png,12
23988,is no green shape present?,yes,2502.png,4
23989,is there not a blue shape?,yes,2502.png,4
23990,is there a yellow shape in the image?,no,2502.png,12
23991,is there a teal shape in the image?,no,2502.png,12
23992,what shape is in the image?,circle,2503.png,0
23993,what shape is present?,circle,2503.png,0
23994,what color is the circle?,gray,2503.png,3
23995,is there a rectangle in the image?,no,2503.png,12
23996,is there not a gray shape in the image?,no,2503.png,12
23997,does the image not contain a red shape?,yes,2503.png,4
23998,does the image contain a yellow shape?,no,2503.png,12
23999,is no yellow shape present?,yes,2503.png,4
24000,is a teal shape present?,no,2503.png,12
24001,what shape does the image contain?,triangle,2504.png,9
24002,what is the teal shape?,triangle,2504.png,9
24003,is there a rectangle?,no,2504.png,12
24004,is there a black shape in the image?,no,2504.png,12
24005,does the image contain a red shape?,no,2504.png,12
24006,is a red shape present?,no,2504.png,12
24007,is there not a red shape in the image?,yes,2504.png,4
24008,does the image not contain a blue shape?,yes,2504.png,4
24009,is there not a teal shape?,no,2504.png,12
24010,is there not a brown shape?,yes,2504.png,4
24011,what shape is present?,circle,2505.png,0
24012,what shape does the image contain?,circle,2505.png,0
24013,what color is the circle?,yellow,2505.png,8
24014,what is the color of the circle?,yellow,2505.png,8
24015,what color is the shape?,yellow,2505.png,8
24016,is there a circle?,yes,2505.png,4
24017,is a circle present?,yes,2505.png,4
24018,does the image contain a triangle?,no,2505.png,12
24019,is a black shape present?,no,2505.png,12
24020,is a gray shape present?,no,2505.png,12
24021,is a green shape present?,no,2505.png,12
24022,is there a yellow shape?,yes,2505.png,4
24023,is a brown shape present?,no,2505.png,12
24024,what shape is in the image?,circle,2506.png,0
24025,what shape is present?,circle,2506.png,0
24026,what shape does the image contain?,circle,2506.png,0
24027,what is the color of the circle?,green,2506.png,1
24028,does the image not contain a circle?,no,2506.png,12
24029,is there not a triangle in the image?,yes,2506.png,4
24030,does the image not contain a gray shape?,yes,2506.png,4
24031,is no gray shape present?,yes,2506.png,4
24032,is there not a green shape?,no,2506.png,12
24033,is there not a blue shape?,yes,2506.png,4
24034,is no blue shape present?,yes,2506.png,4
24035,is there a teal shape?,no,2506.png,12
24036,is there not a teal shape?,yes,2506.png,4
24037,what is the color of the circle?,blue,2507.png,11
24038,what color is the shape?,blue,2507.png,11
24039,does the image contain a circle?,yes,2507.png,4
24040,is a circle present?,yes,2507.png,4
24041,is there not a circle?,no,2507.png,12
24042,is a triangle present?,no,2507.png,12
24043,is no black shape present?,yes,2507.png,4
24044,is there not a green shape?,yes,2507.png,4
24045,is there a yellow shape in the image?,no,2507.png,12
24046,is no yellow shape present?,yes,2507.png,4
24047,is there not a teal shape in the image?,yes,2507.png,4
24048,does the image not contain a teal shape?,yes,2507.png,4
24049,what shape does the image contain?,circle,2508.png,0
24050,what is the black shape?,circle,2508.png,0
24051,is there not a rectangle in the image?,yes,2508.png,4
24052,is there a circle?,yes,2508.png,4
24053,does the image contain a gray shape?,no,2508.png,12
24054,is no gray shape present?,yes,2508.png,4
24055,is there a yellow shape?,no,2508.png,12
24056,does the image contain a teal shape?,no,2508.png,12
24057,is there a brown shape?,no,2508.png,12
24058,what shape is in the image?,rectangle,2509.png,7
24059,what color is the rectangle?,black,2509.png,6
24060,is a rectangle present?,yes,2509.png,4
24061,does the image contain a circle?,no,2509.png,12
24062,is no black shape present?,no,2509.png,12
24063,is there a red shape in the image?,no,2509.png,12
24064,is no red shape present?,yes,2509.png,4
24065,is there a green shape?,no,2509.png,12
24066,is there not a blue shape in the image?,yes,2509.png,4
24067,is there a teal shape in the image?,no,2509.png,12
24068,what color is the triangle?,yellow,2510.png,8
24069,what is the color of the shape?,yellow,2510.png,8
24070,is there a circle?,no,2510.png,12
24071,is there not a black shape in the image?,yes,2510.png,4
24072,is no black shape present?,yes,2510.png,4
24073,is a red shape present?,no,2510.png,12
24074,is a green shape present?,no,2510.png,12
24075,does the image not contain a green shape?,yes,2510.png,4
24076,is there a yellow shape?,yes,2510.png,4
24077,does the image contain a brown shape?,no,2510.png,12
24078,what shape is in the image?,rectangle,2511.png,7
24079,what shape does the image contain?,rectangle,2511.png,7
24080,what is the black shape?,rectangle,2511.png,7
24081,is a circle present?,no,2511.png,12
24082,is no circle present?,yes,2511.png,4
24083,is there not a black shape?,no,2511.png,12
24084,is there not a red shape in the image?,yes,2511.png,4
24085,does the image contain a green shape?,no,2511.png,12
24086,does the image not contain a blue shape?,yes,2511.png,4
24087,is no teal shape present?,yes,2511.png,4
24088,what color is the shape?,brown,2512.png,10
24089,is a circle present?,no,2512.png,12
24090,is a black shape present?,no,2512.png,12
24091,does the image contain a gray shape?,no,2512.png,12
24092,is there not a gray shape?,yes,2512.png,4
24093,does the image contain a green shape?,no,2512.png,12
24094,is a green shape present?,no,2512.png,12
24095,does the image contain a blue shape?,no,2512.png,12
24096,is a blue shape present?,no,2512.png,12
24097,does the image not contain a yellow shape?,yes,2512.png,4
24098,what shape is present?,circle,2513.png,0
24099,what color is the circle?,red,2513.png,2
24100,what color is the shape?,red,2513.png,2
24101,is a circle present?,yes,2513.png,4
24102,is there not a black shape in the image?,yes,2513.png,4
24103,does the image not contain a gray shape?,yes,2513.png,4
24104,is there a red shape?,yes,2513.png,4
24105,is there not a green shape in the image?,yes,2513.png,4
24106,is a blue shape present?,no,2513.png,12
24107,is there a yellow shape?,no,2513.png,12
24108,is there not a yellow shape in the image?,yes,2513.png,4
24109,is there a teal shape?,no,2513.png,12
24110,what shape is present?,triangle,2514.png,9
24111,what shape does the image contain?,triangle,2514.png,9
24112,what is the color of the triangle?,yellow,2514.png,8
24113,what is the color of the shape?,yellow,2514.png,8
24114,is a black shape present?,no,2514.png,12
24115,is there a gray shape?,no,2514.png,12
24116,is there a blue shape in the image?,no,2514.png,12
24117,is there not a yellow shape in the image?,no,2514.png,12
24118,what shape is present?,rectangle,2515.png,7
24119,what color is the rectangle?,black,2515.png,6
24120,what color is the shape?,black,2515.png,6
24121,is there a gray shape in the image?,no,2515.png,12
24122,is there not a teal shape in the image?,yes,2515.png,4
24123,is a brown shape present?,no,2515.png,12
24124,what shape is in the image?,circle,2516.png,0
24125,what shape is present?,circle,2516.png,0
24126,what is the gray shape?,circle,2516.png,0
24127,what color is the shape?,gray,2516.png,3
24128,is there a rectangle in the image?,no,2516.png,12
24129,does the image not contain a circle?,no,2516.png,12
24130,does the image not contain a black shape?,yes,2516.png,4
24131,is there not a red shape?,yes,2516.png,4
24132,is a green shape present?,no,2516.png,12
24133,does the image not contain a green shape?,yes,2516.png,4
24134,is no blue shape present?,yes,2516.png,4
24135,is there a yellow shape in the image?,no,2516.png,12
24136,what shape is present?,rectangle,2517.png,7
24137,what shape does the image contain?,rectangle,2517.png,7
24138,what color is the shape?,teal,2517.png,5
24139,what is the color of the shape?,teal,2517.png,5
24140,does the image contain a rectangle?,yes,2517.png,4
24141,is there not a triangle?,yes,2517.png,4
24142,is there not a gray shape?,yes,2517.png,4
24143,is a red shape present?,no,2517.png,12
24144,is there a blue shape?,no,2517.png,12
24145,is there not a blue shape?,yes,2517.png,4
24146,does the image not contain a blue shape?,yes,2517.png,4
24147,is there a yellow shape in the image?,no,2517.png,12
24148,does the image not contain a yellow shape?,yes,2517.png,4
24149,what color is the circle?,gray,2518.png,3
24150,what is the color of the circle?,gray,2518.png,3
24151,does the image contain a circle?,yes,2518.png,4
24152,is there not a triangle?,yes,2518.png,4
24153,is a gray shape present?,yes,2518.png,4
24154,does the image contain a blue shape?,no,2518.png,12
24155,is a teal shape present?,no,2518.png,12
24156,what shape is in the image?,rectangle,2519.png,7
24157,what shape does the image contain?,rectangle,2519.png,7
24158,what is the color of the shape?,teal,2519.png,5
24159,does the image contain a circle?,no,2519.png,12
24160,does the image contain a triangle?,no,2519.png,12
24161,does the image not contain a triangle?,yes,2519.png,4
24162,does the image not contain a green shape?,yes,2519.png,4
24163,is there not a yellow shape?,yes,2519.png,4
24164,does the image contain a teal shape?,yes,2519.png,4
24165,is there not a teal shape in the image?,no,2519.png,12
24166,is no brown shape present?,yes,2519.png,4
24167,what shape does the image contain?,circle,2520.png,0
24168,what is the gray shape?,circle,2520.png,0
24169,what is the color of the circle?,gray,2520.png,3
24170,is there a rectangle?,no,2520.png,12
24171,is there not a triangle in the image?,yes,2520.png,4
24172,is a red shape present?,no,2520.png,12
24173,is no red shape present?,yes,2520.png,4
24174,is there not a yellow shape?,yes,2520.png,4
24175,what shape is in the image?,rectangle,2521.png,7
24176,what is the color of the rectangle?,gray,2521.png,3
24177,is there a rectangle in the image?,yes,2521.png,4
24178,is there a black shape?,no,2521.png,12
24179,does the image not contain a black shape?,yes,2521.png,4
24180,is there a green shape?,no,2521.png,12
24181,is there not a yellow shape?,yes,2521.png,4
24182,is no yellow shape present?,yes,2521.png,4
24183,what shape is present?,triangle,2522.png,9
24184,what shape does the image contain?,triangle,2522.png,9
24185,what is the color of the triangle?,yellow,2522.png,8
24186,is there not a triangle?,no,2522.png,12
24187,is there not a black shape in the image?,yes,2522.png,4
24188,is there not a gray shape?,yes,2522.png,4
24189,is there not a green shape?,yes,2522.png,4
24190,does the image contain a blue shape?,no,2522.png,12
24191,is a blue shape present?,no,2522.png,12
24192,is no blue shape present?,yes,2522.png,4
24193,does the image not contain a brown shape?,yes,2522.png,4
24194,is no brown shape present?,yes,2522.png,4
24195,what shape is present?,circle,2523.png,0
24196,what shape does the image contain?,circle,2523.png,0
24197,what color is the circle?,red,2523.png,2
24198,what color is the shape?,red,2523.png,2
